Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
SW1,NO,Buttons_Switches_SMD:SW_SPST_B3U-1000P,1,Omron Electronics,B3U-1000P,Mouser,653-B3U-1000P
C43;C44;C45;C46;C50;C36;C20;C14;C30;C35;C19;C13;C29,100n,Capacitors_SMD:C_0402,13,Vishay / Vitramon,VJ0402V104ZXJCW1BC,Mouser,77-VJ0402V104ZXJCBC
C49;C39;C16;C18;C4;C32;C42;C38;C15;C17;C3;C31,10n,Capacitors_SMD:C_0402,12,Vishay / Vitramon,VJ0402Y103KXJCW1BC,Mouser,77-VJ0402Y103KXJCBC
C9;C6,10p,Capacitors_SMD:C_0402,2,Murata Electronics,GRM1555C1E100GA01D,Mouser,81-GRM1555C1E100GA1D
C52,10u,Capacitors_SMD:C_0402,1,Murata Electronics,GRM155C80J106ME11J,Mouser,81-GRM155C80J106ME1J
C26;C25,15n,Capacitors_SMD:C_0402,2,Murata Electronics,GRM155R71C153KA01J,Mouser,81-GRM155R71C153KA1J
C28;C27,1n,Capacitors_SMD:C_0402,2,Murata Electronics,GRM155R60J102KA01D,Mouser,81-GRM155R60J102KA1D
C40;C41,20p,Capacitors_SMD:C_0402,2,Murata Electronics,GJM1555C1H200FB01D,Mouser,81-GJM1555C1H200FB1D
C8;C5,220p,Capacitors_SMD:C_0402,2,Murata Electronics,GRM1555C1H221JA01D,Mouser,81-GRM1555C1H221JA01
C24;C23,22n,Capacitors_SMD:C_0402,2,Murata Electronics,GCM155R71E223KA55D,Mouser,81-GCM155R71E223KA5D
C34;C33,22p,Capacitors_SMD:C_0402,2,AVX,04025A220GAT2A,Mouser,581-04025A220G
C22;C21,470p,Capacitors_SMD:C_0402,2,Murata Electronics,GCM1555C1H471JA16J,Mouser,81-GCM1555C1H471JA6J
C48;C47,47p,Capacitors_SMD:C_0402,2,Murata Electronics,GRM1555C1H470FA01D,Mouser,81-GRM1555C1H470FA1D
C10;C7,4p7,Capacitors_SMD:C_0402,2,Murata Electronics,GRM1555C1H4R7CA01D,Mouser,81-GRM1555C1H4R7CA1D
C12;C2;C11;C1,6p8,Capacitors_SMD:C_0402,4,Murata Electronics,GJM1555C1H6R8BB01D,Mouser,81-GJM1555C1H6R8BB1D
C51,10u/10V,Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow,1,AVX,TPSA106K010T0900,Mouser,581-TPSA106K010T0900
P2;P1,SMA,Connectors:SMA_THT_Jack_Straight,2,TE Connectivity,5-1814832-1,Mouser,571-5-1814832-1
W1;W2,TEST_1P,Connectors_TestPoints:Test_Point_Pad_1.0x1.0mm,2,,,,
X1,TCXO,Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm,1,ECS,ECS-TXO-3225-147.4-TR,Mouser,520-TXO-3225-14.74T
Y1,8MHz,Crystals:Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,1,ABRACON,ABM3-8.000MHz-D2Y-T,Mouser,815-ABM3-8-D2Y-T
U1;U2,ADF7021,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,2,Analog Devices,ADF7021BCPZ,Mouser,584-ADF7021BCPZ
U3,STM32F103C8T6,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,1,STMicroelectronics,STM32F103C8T6,Mouser,511-STM32F103C8T6
